                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9461,                0.81207,                 1.0117,                0.99395,                0.99005,                0.99382,                0.81401,                0.83025,                0.33089,                0.96962,              0.0033329,              0.0033329,              0.0033329
                      2,                0.90201,                0.38985,                 1.0075,                0.99406,                0.99567,                0.99426,                0.84039,                0.79261,                0.28091,                0.95775,              0.0060063,              0.0060063,              0.0060063
                      3,                0.89424,                0.38132,                 1.0084,                0.99638,                0.99391,                0.99423,                0.84249,                0.78824,                0.28498,                0.96083,              0.0080196,              0.0080196,              0.0080196
                      4,                0.87519,                0.36552,                 1.0032,                0.99793,                 0.9866,                 0.9942,                0.83689,                0.82113,                0.32839,                0.97952,                0.00703,                0.00703,                0.00703
                      5,                0.84608,                0.34048,                 0.9899,                0.99816,                0.98224,                0.99388,                0.83289,                  0.848,                0.36112,                0.98832,                0.00604,                0.00604,                0.00604
                      6,                0.82733,                0.32478,                0.98234,                0.99801,                0.98545,                0.99425,                0.83803,                0.83641,                0.33921,                0.98123,                0.00505,                0.00505,                0.00505
                      7,                 0.8124,                0.31108,                0.97698,                0.99789,                0.99135,                0.99424,                0.84804,                0.80358,                    0.3,                0.96719,                0.00406,                0.00406,                0.00406
                      8,                 0.7986,                0.29815,                0.97023,                0.99794,                0.99453,                0.99426,                 0.8553,                0.77731,                0.27334,                0.95588,                0.00307,                0.00307,                0.00307
                      9,                0.78321,                0.28351,                 0.9626,                0.99798,                0.99532,                0.99427,                0.86041,                0.76212,                0.25844,                0.94866,                0.00208,                0.00208,                0.00208
                     10,                0.76698,                0.26712,                0.95556,                0.99745,                0.99646,                0.99428,                0.86331,                0.75239,                0.24905,                0.94373,                0.00109,                0.00109,                0.00109
